ТОО «Демо Продукт» — консолидированная финансовая отчётность (аудировано);;
Все суммы в тыс. тенге (KZT), если не указано иное;;
Показатель;31.12.2024;31.12.2023
БУХГАЛТЕРСКИЙ БАЛАНС;;
Денежные средства и их эквиваленты;185 400;142 300
Краткосрочные финансовые вложения;42 000;35 000
Дебиторская задолженность;268 750;301 200
Запасы;312 600;289 400
Итого по разделу II;808 750;767 900
Итого активы;2 456 800;2 298 500
Кредиторская задолженность;198 300;176 500
Займы и кредиты;540 000;610 000
Итого по разделу V;486 200;441 700
Итого обязательства;1 026 200;1 051 700
Итого по разделу III;1 430 600;1 246 800
ОТЧЁТ О ПРИБЫЛЯХ И УБЫТКАХ;;
Доход от реализации;3 245 900;2 987 400
Себестоимость реализованной продукции;(2 271 100);(2 122 300)
Валовая прибыль;974 800;865 100
Прибыль от операционной деятельности;356 400;298 700
Проценты к уплате;(148 200);(139 700)
Чистая прибыль (убыток);148 500;118 300
ОТЧЁТ О ДВИЖЕНИИ ДЕНЕЖНЫХ СРЕДСТВ;;
Чистые денежные средства от операционной деятельности;287 300;241 600
Приобретение основных средств;(96 500);(84 200)
